Day,Weekday,Bets,Losses,Earnings,Win/Loss,Running Total
11/1/2023,Wednesday,"$3,280","-$3,630",-$88,0,-$88
11/2/2023,Thursday,$433,$0,$108,1,$21
11/3/2023,Friday,"$1,664",-$420,$311,1,$332
11/4/2023,Saturday,"$2,864","-$6,420",-$889,0,-$557
11/5/2023,Sunday,$239,$0,$60,1,-$498
11/6/2023,Monday,$335,$0,$84,1,-$414
11/7/2023,Tuesday,"$1,868",$0,$467,1,$53
11/8/2023,Wednesday,"$4,815","-$8,280",-$866,0,-$813
11/9/2023,Thursday,$524,$0,$131,1,-$682
11/10/2023,Friday,"$2,072","-$2,848",-$194,0,-$876
11/11/2023,Saturday,"$6,056","-$1,750","$1,077",1,$200
11/12/2023,Sunday,$325,$0,$81,1,$282
11/13/2023,Monday,$770,$0,$193,1,$474
11/14/2023,Tuesday,"$2,335","-$2,130",$51,1,$525
11/15/2023,Wednesday,"$4,585","-$2,520",$516,1,"$1,042"
11/16/2023,Thursday,$885,-$450,$109,1,"$1,150"
11/17/2023,Friday,"$2,910","-$5,670",-$690,0,$460
11/18/2023,Saturday,"$4,919","-$15,600","-$2,670",0,"-$2,210"
11/19/2023,Sunday,$383,"-$2,240",-$464,0,"-$2,674"
11/20/2023,Monday,$775,$0,$194,1,"-$2,481"
11/21/2023,Tuesday,"$2,699",$0,$675,1,"-$1,806"
11/22/2023,Wednesday,"$4,050","-$2,500",$388,1,"-$1,418"
11/23/2023,Thursday,"$1,118",$0,$280,1,"-$1,139"
11/24/2023,Friday,"$3,052","-$3,860",-$202,0,"-$1,341"
11/25/2023,Saturday,"$5,471","-$4,800",$168,1,"-$1,173"
11/26/2023,Sunday,$863,-$900,-$9,0,"-$1,182"
11/27/2023,Monday,"$1,406","-$2,900",-$374,0,"-$1,556"
11/28/2023,Tuesday,"$3,945",$0,$986,1,-$570
11/29/2023,Wednesday,"$4,344","-$8,630","-$1,072",0,"-$1,641"
11/30/2023,Thursday,$951,"-$1,350",-$100,0,"-$1,741"
12/1/2023,Friday,"$2,945","-$3,870",-$231,0,"-$1,972"
12/2/2023,Saturday,"$5,244",-$500,"$1,186",1,-$786
12/3/2023,Sunday,$532,$0,$133,1,-$653
12/4/2023,Monday,$515,$0,$129,1,-$524
12/5/2023,Tuesday,"$2,478","-$2,340",$35,1,-$490
12/6/2023,Wednesday,"$4,589",-$210,"$1,095",1,$605
12/7/2023,Thursday,$531,$0,$133,1,$737
12/8/2023,Friday,"$2,226",$0,$557,1,"$1,294"
12/9/2023,Saturday,"$4,500",$0,"$1,125",1,"$2,419"
12/10/2023,Sunday,$755,"-$1,200",-$111,0,"$2,308"
12/11/2023,Monday,"$1,014","-$1,350",-$84,0,"$2,224"
12/12/2023,Tuesday,"$2,869",-$840,$507,1,"$2,731"
12/13/2023,Wednesday,"$4,167","-$1,680",$622,1,"$3,353"
12/14/2023,Thursday,$593,$0,$148,1,"$3,501"
12/15/2023,Friday,"$3,216","-$6,170",-$739,0,"$2,762"
12/16/2023,Saturday,"$5,874",$0,"$1,469",1,"$4,231"
12/17/2023,Sunday,$886,$0,$222,1,"$4,452"
12/18/2023,Monday,"$1,303",$0,$326,1,"$4,778"
12/19/2023,Tuesday,"$2,420",$0,$605,1,"$5,383"
12/20/2023,Wednesday,"$3,819",-$840,$745,1,"$6,128"
12/21/2023,Thursday,"$1,352","-$1,800",-$112,0,"$6,016"
12/22/2023,Friday,"$3,971","-$3,780",$48,1,"$6,064"
12/23/2023,Saturday,"$4,936",$0,"$1,234",1,"$7,298"
12/24/2023,Sunday,$849,-$300,$137,1,"$7,435"
12/25/2023,Monday,$480,-$450,$8,1,"$7,442"
12/26/2023,Tuesday,"$2,876","-$3,990",-$279,0,"$7,164"
12/27/2023,Wednesday,"$4,242","-$3,570",$168,1,"$7,332"
12/28/2023,Thursday,$846,$0,$212,1,"$7,543"
12/29/2023,Friday,"$2,622","-$6,200",-$895,0,"$6,649"
12/30/2023,Saturday,"$5,429","-$7,460",-$508,0,"$6,141"
12/31/2023,Sunday,$646,$0,$162,1,"$6,303"
1/1/2024,Monday,"$1,062",$0,$266,1,"$6,568"
1/2/2024,Tuesday,"$2,695","-$4,200",-$376,0,"$6,192"
1/3/2024,Wednesday,"$6,965","-$10,500",-$884,0,"$5,308"
1/4/2024,Thursday,$443,$0,$111,1,"$5,419"
1/5/2024,Friday,"$2,444","-$1,130",$329,1,"$5,747"
1/6/2024,Saturday,"$7,081","-$8,850",-$442,0,"$5,305"
1/7/2024,Sunday,$215,"-$1,500",-$321,0,"$4,984"
1/8/2024,Monday,$332,$0,$83,1,"$5,067"
1/9/2024,Tuesday,"$2,287","-$4,200",-$478,0,"$4,589"
1/10/2024,Wednesday,"$6,874","-$3,140",$934,1,"$5,522"
1/11/2024,Thursday,$868,$0,$217,1,"$5,739"
1/12/2024,Friday,"$3,420","-$4,200",-$195,0,"$5,544"
1/13/2024,Saturday,"$6,673","-$1,680","$1,248",1,"$6,792"
1/14/2024,Sunday,$408,$0,$102,1,"$6,894"
1/15/2024,Monday,$472,$0,$118,1,"$7,012"
1/16/2024,Tuesday,"$3,133","-$1,680",$363,1,"$7,376"
1/17/2024,Wednesday,"$7,479","-$18,740","-$2,815",0,"$4,560"
1/18/2024,Thursday,$950,$0,$238,1,"$4,798"
1/19/2024,Friday,"$3,311","-$3,360",-$12,0,"$4,786"
1/20/2024,Saturday,"$8,955","-$5,510",$861,1,"$5,647"
1/21/2024,Sunday,$732,$0,$183,1,"$5,830"
1/22/2024,Monday,$535,$0,$134,1,"$5,964"
1/23/2024,Tuesday,"$2,285",$0,$571,1,"$6,535"
1/24/2024,Wednesday,"$7,890","-$1,320","$1,643",1,"$8,177"
1/25/2024,Thursday,"$1,064",$0,$266,1,"$8,443"
1/26/2024,Friday,"$3,572","-$3,860",-$72,0,"$8,371"
1/27/2024,Saturday,"$9,361","-$22,050","-$3,172",0,"$5,199"
1/28/2024,Sunday,$791,"-$1,800",-$252,0,"$4,947"
1/29/2024,Monday,"$1,301",$0,$325,1,"$5,272"
1/30/2024,Tuesday,"$3,755","-$3,810",-$14,0,"$5,258"
1/31/2024,Wednesday,"$8,994","-$11,300",-$577,0,"$4,682"
2/1/2024,Thursday,"$1,975",$0,$494,1,"$5,175"
2/2/2024,Friday,"$2,861","-$1,250",$403,1,"$5,578"
2/3/2024,Saturday,"$8,054","-$5,210",$711,1,"$6,289"
2/4/2024,Sunday,$740,$0,$185,1,"$6,474"
2/5/2024,Monday,"$1,432",$0,$358,1,"$6,832"
2/6/2024,Tuesday,"$2,622","-$3,045",-$106,0,"$6,727"
2/7/2024,Wednesday,"$5,402","-$4,900",$126,1,"$6,852"
2/8/2024,Thursday,$878,-$180,$175,1,"$7,027"
2/9/2024,Friday,"$3,357","-$1,260",$524,1,"$7,551"
2/10/2024,Saturday,"$8,490","-$3,540","$1,238",1,"$8,788"
2/11/2024,Sunday,$280,$0,$70,1,"$8,858"
2/12/2024,Monday,"$1,401","-$1,950",-$137,0,"$8,721"
2/13/2024,Tuesday,"$2,910",-$420,$623,1,"$9,344"
2/14/2024,Wednesday,"$8,065","-$11,040",-$744,0,"$8,600"
2/15/2024,Thursday,"$1,932","-$1,200",$183,1,"$8,783"
2/16/2024,Friday,"$3,660","-$2,940",$180,1,"$8,963"
2/17/2024,Saturday,"$9,381","-$2,800","$1,645",1,"$10,608"
2/18/2024,Sunday,"$1,098","-$6,400","-$1,326",0,"$9,283"
2/19/2024,Monday,"$1,630",$0,$408,1,"$9,690"
2/20/2024,Tuesday,"$2,700","-$5,300",-$650,0,"$9,040"
2/21/2024,Wednesday,"$8,167","-$4,910",$814,1,"$9,854"
2/22/2024,Thursday,"$1,121",$0,$280,1,"$10,135"
2/23/2024,Friday,"$2,430","-$2,940",-$128,0,"$10,007"
2/24/2024,Saturday,"$8,173","-$2,940","$1,308",1,"$11,315"
2/25/2024,Sunday,$856,-$291,$141,1,"$11,457"
2/26/2024,Monday,$883,$0,$221,1,"$11,677"
2/27/2024,Tuesday,"$3,387","-$1,260",$532,1,"$12,209"
2/28/2024,Wednesday,"$7,811","-$6,550",$315,1,"$12,524"
2/29/2024,Thursday,"$1,397","-$1,200",$49,1,"$12,573"
3/1/2024,Friday,"$2,581","-$2,100",$120,1,"$12,693"
3/2/2024,Saturday,"$9,014","-$7,190",$456,1,"$13,149"
3/3/2024,Sunday,"$1,459",$0,$365,1,"$13,514"
3/4/2024,Monday,"$1,184",$0,$296,1,"$13,810"
3/5/2024,Tuesday,"$3,098","-$4,510",-$353,0,"$13,457"
3/6/2024,Wednesday,"$7,720","-$3,190","$1,133",1,"$14,590"
3/7/2024,Thursday,"$1,385","-$1,200",$46,1,"$14,636"
3/8/2024,Friday,"$3,379","-$5,470",-$523,0,"$14,113"
3/9/2024,Saturday,"$8,732","-$7,290",$361,1,"$14,474"
3/10/2024,Sunday,"$1,401",-$450,$238,1,"$14,711"
3/11/2024,Monday,"$1,624","-$1,500",$31,1,"$14,742"
3/12/2024,Tuesday,"$3,187","-$2,070",$279,1,"$15,022"
3/13/2024,Wednesday,"$7,695","-$3,830",$966,1,"$15,988"
3/14/2024,Thursday,"$1,605","-$2,250",-$161,0,"$15,827"
3/15/2024,Friday,"$3,734","-$5,820",-$522,0,"$15,305"
3/16/2024,Saturday,"$8,518","-$2,160","$1,590",1,"$16,895"
3/17/2024,Sunday,"$1,208","-$3,930",-$681,0,"$16,214"
3/18/2024,Monday,"$1,704",-$450,$314,1,"$16,528"
3/19/2024,Tuesday,"$2,933","-$2,970",-$9,0,"$16,518"
3/20/2024,Wednesday,"$7,243","-$14,320","-$1,769",0,"$14,749"
3/21/2024,Thursday,"$1,452","-$1,200",$63,1,"$14,812"
3/22/2024,Friday,"$3,334","-$1,830",$376,1,"$15,188"
3/23/2024,Saturday,"$7,873","-$3,140","$1,183",1,"$16,371"
3/24/2024,Sunday,$673,"-$6,750","-$1,519",0,"$14,852"
3/25/2024,Monday,"$1,081",$0,$270,1,"$15,122"
3/26/2024,Tuesday,"$3,050","-$4,400",-$338,0,"$14,785"
3/27/2024,Wednesday,"$7,992","-$2,940","$1,263",1,"$16,048"
3/28/2024,Thursday,"$1,544","-$1,500",$11,1,"$16,059"
3/29/2024,Friday,"$4,190","-$1,890",$575,1,"$16,634"
3/30/2024,Saturday,"$8,550","-$5,350",$800,1,"$17,434"
3/31/2024,Sunday,"$1,160",-$300,$215,1,"$17,649"
4/1/2024,Monday,$666,$0,$167,1,"$17,815"
4/2/2024,Tuesday,"$2,532","-$3,240",-$177,0,"$17,638"
4/3/2024,Wednesday,"$6,987",-$300,"$1,672",1,"$19,310"
4/4/2024,Thursday,"$1,450","-$1,350",$25,1,"$19,335"
4/5/2024,Friday,"$3,342","-$2,940",$101,1,"$19,435"
4/6/2024,Saturday,"$6,825","-$2,940",$971,1,"$20,407"
4/7/2024,Sunday,$657,$0,$164,1,"$20,571"
4/8/2024,Monday,$982,$0,$245,1,"$20,816"
4/9/2024,Tuesday,"$2,923","-$1,410",$378,1,"$21,195"
4/10/2024,Wednesday,"$6,012",-$420,"$1,398",1,"$22,593"
4/11/2024,Thursday,$831,$0,$208,1,"$22,800"
4/12/2024,Friday,"$3,194","-$3,090",$26,1,"$22,826"
4/13/2024,Saturday,"$7,442","-$11,180",-$935,0,"$21,892"
4/14/2024,Sunday,$999,-$150,$212,1,"$22,104"
4/15/2024,Monday,"$2,401",-$600,$450,1,"$22,554"
4/16/2024,Tuesday,"$3,899","-$2,490",$352,1,"$22,907"
4/17/2024,Wednesday,"$6,213","-$4,990",$306,1,"$23,212"
4/18/2024,Thursday,"$1,892","-$2,875",-$246,0,"$22,967"
4/19/2024,Friday,"$3,069","-$1,800",$317,1,"$23,284"
4/20/2024,Saturday,"$7,700","-$5,190",$628,1,"$23,911"
4/21/2024,Sunday,"$1,161","-$2,400",-$310,0,"$23,602"
4/22/2024,Monday,"$1,376",$0,$344,1,"$23,946"
4/23/2024,Tuesday,"$2,613","-$5,040",-$607,0,"$23,339"
4/24/2024,Wednesday,"$6,669","-$4,040",$657,1,"$23,996"
4/25/2024,Thursday,"$1,559",$0,$390,1,"$24,386"
4/26/2024,Friday,"$3,422","-$1,890",$383,1,"$24,769"
4/27/2024,Saturday,"$6,741","-$19,720","-$3,245",0,"$21,524"
4/28/2024,Sunday,$468,$0,$117,1,"$21,641"
4/29/2024,Monday,$681,$0,$170,1,"$21,811"
4/30/2024,Tuesday,"$3,113","-$4,020",-$227,0,"$21,585"
5/1/2024,Wednesday,"$6,396","-$6,330",$17,1,"$21,601"
5/2/2024,Thursday,"$1,377","-$2,100",-$181,0,"$21,420"
5/3/2024,Friday,"$3,241","-$2,520",$180,1,"$21,601"
5/4/2024,Saturday,"$7,169","-$5,560",$402,1,"$22,003"
5/5/2024,Sunday,$505,-$600,-$24,0,"$21,979"
5/6/2024,Monday,"$1,692","-$1,500",$48,1,"$22,027"
5/7/2024,Tuesday,"$2,641","-$2,940",-$75,0,"$21,952"
5/8/2024,Wednesday,"$6,632","-$3,040",$898,1,"$22,850"
5/9/2024,Thursday,"$1,744",$0,$436,1,"$23,286"
5/10/2024,Friday,"$2,712","-$1,050",$416,1,"$23,702"
5/11/2024,Saturday,"$6,616","-$7,540",-$231,0,"$23,471"
5/12/2024,Sunday,$841,"-$1,800",-$240,0,"$23,231"
5/13/2024,Monday,$624,$0,$156,1,"$23,387"
5/14/2024,Tuesday,"$1,927","-$1,350",$144,1,"$23,531"
5/15/2024,Wednesday,"$6,479","-$2,940",$885,1,"$24,416"
5/16/2024,Thursday,"$1,138",-$150,$247,1,"$24,663"
5/17/2024,Friday,"$2,802",$0,$701,1,"$25,364"
5/18/2024,Saturday,"$7,087","-$2,920","$1,042",1,"$26,405"
5/19/2024,Sunday,$526,$0,$132,1,"$26,537"
5/20/2024,Monday,$754,-$300,$114,1,"$26,650"
5/21/2024,Tuesday,"$2,380",$0,$595,1,"$27,245"
5/22/2024,Wednesday,"$6,520","-$1,630","$1,223",1,"$28,468"
5/23/2024,Thursday,$928,-$450,$120,1,"$28,587"
5/24/2024,Friday,"$2,301",-$840,$365,1,"$28,953"
5/25/2024,Saturday,"$7,122","-$4,090",$758,1,"$29,711"
5/26/2024,Sunday,$683,$0,$171,1,"$29,881"
5/27/2024,Monday,"$1,130","-$2,100",-$243,0,"$29,639"
5/28/2024,Tuesday,"$2,327","-$1,785",$136,1,"$29,774"
5/29/2024,Wednesday,"$6,548","-$2,750",$950,1,"$30,724"
5/30/2024,Thursday,"$1,182","-$1,200",-$5,0,"$30,719"
5/31/2024,Friday,"$2,300",-$420,$470,1,"$31,189"
6/1/2024,Saturday,"$7,008","-$2,940","$1,017",1,"$32,206"
6/2/2024,Sunday,$348,$0,$87,1,"$32,293"
6/3/2024,Monday,$823,-$345,$120,1,"$32,413"
6/4/2024,Tuesday,"$2,107","-$1,890",$54,1,"$32,467"
6/5/2024,Wednesday,"$5,994","-$6,060",-$17,0,"$32,451"
6/6/2024,Thursday,$300,$0,$75,1,"$32,526"
6/7/2024,Friday,"$2,212","-$2,940",-$182,0,"$32,344"
6/8/2024,Saturday,"$6,367","-$6,340",$7,1,"$32,350"
6/9/2024,Sunday,"$1,223","-$2,400",-$294,0,"$32,056"
6/10/2024,Monday,$514,$0,$129,1,"$32,185"
6/11/2024,Tuesday,"$2,987","-$2,100",$222,1,"$32,406"
6/12/2024,Wednesday,"$6,478","-$3,340",$785,1,"$33,191"
6/13/2024,Thursday,$929,$0,$232,1,"$33,423"
6/14/2024,Friday,"$2,492",-$840,$413,1,"$33,836"
6/15/2024,Saturday,"$6,866",-$400,"$1,617",1,"$35,453"
6/16/2024,Sunday,$200,$0,$50,1,"$35,503"
6/17/2024,Monday,$918,"-$1,350",-$108,0,"$35,395"
6/18/2024,Tuesday,"$2,811","-$2,940",-$32,0,"$35,362"
